"PLAYER_ID","PLAYER_NAME","TEAM_ABBREVIATION","GP","MIN","PTS","REB","AST","STL","BLK","FG_PCT","FG3_PCT","FT_PCT","TOV","PLUS_MINUS","SEASON"
203145,"Kent Bazemore","GSW",67,19.904,7.179,3.418,1.612,1.03,0.493,0.436,0.345,0.345,1.224,2.478,"2020-21"
203200,"Justin Holiday","IND",72,30.324,10.5,3.556,1.653,1.028,0.569,0.419,0.382,0.386,0.75,-0.625,"2020-21"
203210,"JaMychal Green","DEN",58,19.307,8.121,4.776,0.914,0.448,0.379,0.487,0.384,0.308,0.914,1.707,"2020-21"
203382,"Aron Baynes","TOR",53,18.496,6.113,5.151,0.887,0.321,0.415,0.41,0.206,0.225,0.868,-1.528,"2020-21"
203457,"Nerlens Noel","NYK",64,24.166,5.062,6.359,0.719,1.094,2.203,0.578,0,0.313,1.016,-0.031,"2020-21"
203458,"Alex Len","WAS",57,15.841,7.14,4.368,0.807,0.333,1.018,0.574,0.067,0.352,0.825,-1.298,"2020-21"
203463,"Ben McLemore","HOU",32,16.788,7.438,2.062,0.875,0.625,0.094,0.31,0.296,0.279,0.875,-2.844,"2020-21"
203463,"Ben McLemore","LAL",21,17.505,8,1.619,0.524,0.143,0.286,0.328,0.301,0.223,0.667,-0.381,"2020-21"
203468,"CJ McCollum","POR",47,34.037,23.128,3.936,4.745,0.936,0.447,0.457,0.394,0.664,1.383,4.404,"2020-21"
203469,"Cody Zeller","CHA",48,20.945,9.396,6.833,1.792,0.562,0.354,0.572,0.069,0.527,1.062,0.854,"2020-21"
203471,"Dennis Schröder","LAL",61,32.07,15.426,3.459,5.754,1.148,0.213,0.433,0.36,0.661,2.672,1.377,"2020-21"
203476,"Gorgui Dieng","MEM",22,16.878,7.864,4.455,1.318,0.773,0.636,0.448,0.426,0.532,1,-0.455,"2020-21"
203482,"Kelly Olynyk","HOU",27,31.115,19,8.444,4.148,1.444,0.593,0.542,0.378,0.772,2.63,-6.074,"2020-21"
