PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV,PLUS_MINUS
1629655,Daniel Gafford,WAS,78,20.567,9.038,5.551,1.077,0.423,1.269,0.733,0.0,0.503,1.09,-1.141
1629656,Quentin Grimes,NYK,71,29.872,11.254,3.225,2.113,0.662,0.366,0.454,0.367,0.415,0.972,2.62
1629659,Talen Horton-Tucker,UTA,65,20.203,10.738,3.231,3.785,0.631,0.446,0.397,0.222,0.473,1.938,-0.123
1629660,Ty Jerome,GSW,45,18.124,6.867,1.733,3.0,0.511,0.111,0.446,0.317,0.379,0.667,-2.044
1629661,Cameron Johnson,BKN,25,30.814,16.56,4.8,2.08,1.4,0.32,0.457,0.374,0.705,1.08,2.32
1629661,Cameron Johnson,PHX,17,25.262,13.882,3.824,1.529,0.882,0.353,0.443,0.417,0.461,0.588,5.706
1629662,Mfiondu Kabengele,BOS,4,9.108,1.5,2.5,0.0,0.5,0.0,0.188,0.0,0.25,0.25,-1.25
1629663,Louis King,PHI,1,28.8,20.0,4.0,2.0,1.0,0.0,0.615,0.5,0.0,2.0,2.0
1629667,Jalen McDaniels,CHA,56,26.674,10.625,4.821,1.982,1.179,0.518,0.429,0.306,0.603,1.429,-3.018
1629667,Jalen McDaniels,PHI,24,17.464,6.667,3.167,0.792,0.708,0.208,0.431,0.301,0.424,0.542,0.833
1629669,Jaylen Nowell,MIN,65,19.257,10.831,2.615,2.031,0.646,0.077,0.431,0.243,0.452,1.0,-0.123
1629670,Jordan Nwora,IND,24,24.638,13.042,4.667,2.083,0.5,0.292,0.45,0.423,0.463,1.333,-6.333
1629670,Jordan Nwora,MIL,38,15.704,6.026,3.079,1.0,0.316,0.184,0.38,0.347,0.399,0.895,-2.632
1629673,Jordan Poole,GSW,82,29.977,20.427,2.744,4.5,0.768,0.256,0.418,0.321,0.791,3.073,-0.134
1629674,Neemias Queta,SAC,5,5.738,2.4,2.2,0.2,0.0,0.4,0.267,0.0,0.0,0.2,-6.0
1629675,Naz Reid,MIN,68,18.396,11.485,4.897,1.132,0.618,0.779,0.559,0.353,0.403,1.353,-1.882
1629676,Isaiah Roby,SAS,42,11.277,4.095,2.571,0.905,0.429,0.167,0.372,0.197,0.21,0.738,-2.619
1629677,Luka Samanic,UTA,7,22.973,9.857,4.286,2.143,0.857,0.286,0.46,0.279,0.5,1.429,-0.857
1629678,Admiral Schofield,ORL,37,12.196,4.189,1.676,0.838,0.216,0.135,0.366,0.249,0.223,0.432,-2.135
1629680,Matisse Thybulle,PHI,49,12.06,2.653,1.286,0.469,0.918,0.286,0.294,0.132,0.085,0.163,1.531
1629680,Matisse Thybulle,POR,22,27.704,7.409,3.5,1.364,1.727,0.818,0.428,0.361,0.25,0.727,-4.045
1629684,Grant Williams,BOS,79,25.883,8.114,4.595,1.658,0.519,0.392,0.421,0.333,0.399,1.038,2.608
1629685,Dylan Windler,CLE,3,3.461,1.667,0.0,0.333,0.333,0.0,0.5,0.333,0.0,0.333,-0.333
1629714,Jarrell Brantley,UTA,4,9.738,5.5,1.5,0.75,0.0,0.5,0.406,0.233,0.25,0.5,3.75
1629723,John Konchar,MEM,72,20.747,5.056,4.306,1.389,1.069,0.347,0.378,0.268,0.182,0.514,2.903
1629726,Garrison Mathews,ATL,9,9.363,4.778,1.222,0.333,0.111,0.111,0.309,0.296,0.185,0.111,-0.444
1629726,Garrison Mathews,HOU,45,13.378,4.756,1.378,0.511,0.511,0.089,0.323,0.321,0.307,0.4,-1.844
1629731,Dean Wade,CLE,44,20.263,4.682,3.409,0.841,0.636,0.477,0.359,0.273,0.119,0.386,2.455
1629735,Chris Silva,DAL,1,3.017,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1629750,Javonte Green,CHI,32,15.008,5.156,2.75,0.719,0.75,0.656,0.477,0.182,0.329,0.625,1.5
1629875,Xavier Moon,LAC,4,4.892,1.75,0.75,1.25,0.0,0.0,0.333,0.083,0.0,0.25,0.75
1630162,Anthony Edwards,MIN,79,35.968,24.633,5.797,4.43,1.582,0.734,0.455,0.367,0.693,3.278,1.228
1630163,LaMelo Ball,CHA,36,35.215,23.278,6.417,8.444,1.278,0.306,0.417,0.381,0.707,3.583,-4.167
1630164,James Wiseman,DET,24,25.21,12.708,8.083,0.667,0.167,0.833,0.523,0.097,0.516,1.542,-9.167
1630164,James Wiseman,GSW,21,12.483,6.905,3.476,0.667,0.143,0.333,0.53,0.048,0.383,0.667,-5.095
1630165,Killian Hayes,DET,76,28.337,10.342,2.908,6.184,1.368,0.368,0.347,0.227,0.422,2.276,-6.579
1630166,Deni Avdija,WAS,76,26.584,9.171,6.408,2.776,0.855,0.382,0.427,0.28,0.499,1.618,-0.671
1630167,Obi Toppin,NYK,67,15.679,7.418,2.791,0.985,0.343,0.179,0.422,0.3,0.235,0.567,0.851
1630168,Onyeka Okongwu,ATL,80,23.107,9.888,7.2,1.012,0.7,1.338,0.641,0.044,0.546,1.012,0.788
1630169,Tyrese Haliburton,IND,56,33.622,20.714,3.661,10.446,1.625,0.446,0.485,0.391,0.705,2.518,-0.625
1630170,Devin Vassell,SAS,38,31.002,18.5,3.895,3.579,1.132,0.447,0.437,0.376,0.59,1.5,-7.763
1630171,Isaac Okoro,CLE,76,21.744,6.447,2.461,1.145,0.737,0.395,0.479,0.291,0.345,0.553,1.658
1630172,Patrick Williams,CHI,82,28.327,10.159,3.988,1.22,0.878,0.854,0.465,0.413,0.445,1.232,-1.732
1630173,Precious Achiuwa,TOR,55,20.737,9.236,5.964,0.909,0.564,0.545,0.46,0.195,0.43,1.073,-0.673
1630174,Aaron Nesmith,IND,73,24.882,10.11,3.795,1.342,0.753,0.466,0.41,0.323,0.534,1.027,-2.89
1630175,Cole Anthony,ORL,60,25.863,13.017,4.8,3.917,0.617,0.517,0.439,0.356,0.673,1.517,-0.433
